uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade
GO,52015,Sudoeste I,2021,05,524
GO,52001,Central,2021,05,2050
GO,52004,Entorno Sul,2021,05,1144
GO,52017,Sul,2021,05,269
GO,52005,Estrada de Ferro,2021,05,297
GO,52012,Rio Vermelho,2021,05,171
GO,52006,Nordeste I,2021,04,57
GO,52010,Oeste II,2021,04,117
GO,52016,Sudoeste II,2021,04,273
GO,52004,Entorno Sul,2021,04,1113
GO,52013,São Patrício I,2021,04,174
GO,52002,Centro Sul,2021,04,1048
GO,52015,Sudoeste I,2021,04,523
GO,52005,Estrada de Ferro,2021,04,374
GO,52008,Norte,2021,04,147
GO,52018,São Patrício II,2021,04,189
GO,52003,Entorno Norte,2021,04,324
GO,52007,Nordeste II,2021,04,120
GO,52011,Pirineus,2021,04,631
GO,52009,Oeste I,2021,04,126
GO,52017,Sul,2021,04,287
GO,52012,Rio Vermelho,2021,04,236
GO,52014,Serra da Mesa,2021,04,133
GO,52001,Central,2021,04,2015
GO,52016,Sudoeste II,2021,03,282
GO,52005,Estrada de Ferro,2021,03,379
GO,52007,Nordeste II,2021,03,145
GO,52018,São Patrício II,2021,03,198
GO,52001,Central,2021,03,2183
GO,52012,Rio Vermelho,2021,03,242
GO,52002,Centro Sul,2021,03,1183
GO,52004,Entorno Sul,2021,03,1188
GO,52006,Nordeste I,2021,03,53
GO,52014,Serra da Mesa,2021,03,150
GO,52013,São Patrício I,2021,03,200
GO,52003,Entorno Norte,2021,03,358
GO,52008,Norte,2021,03,154
GO,52011,Pirineus,2021,03,683
GO,52010,Oeste II,2021,03,150
GO,52017,Sul,2021,03,299
GO,52009,Oeste I,2021,03,138
GO,52015,Sudoeste I,2021,03,509
GO,52015,Sudoeste I,2021,02,489
GO,52001,Central,2021,02,1917
GO,52004,Entorno Sul,2021,02,1014
GO,52003,Entorno Norte,2021,02,261
GO,52002,Centro Sul,2021,02,1002
GO,52011,Pirineus,2021,02,612
GO,52017,Sul,2021,02,246
GO,52010,Oeste II,2021,02,101
GO,52006,Nordeste I,2021,02,41
GO,52016,Sudoeste II,2021,02,275
GO,52013,São Patrício I,2021,02,164
GO,52008,Norte,2021,02,134
GO,52014,Serra da Mesa,2021,02,117
GO,52018,São Patrício II,2021,02,181
GO,52009,Oeste I,2021,02,102
GO,52012,Rio Vermelho,2021,02,175
GO,52007,Nordeste II,2021,02,114
GO,52005,Estrada de Ferro,2021,02,295
GO,52004,Entorno Sul,2021,01,1074
GO,52006,Nordeste I,2021,01,47
GO,52014,Serra da Mesa,2021,01,119
GO,52002,Centro Sul,2021,01,1035
GO,52001,Central,2021,01,1941
GO,52007,Nordeste II,2021,01,116
GO,52016,Sudoeste II,2021,01,271
GO,52008,Norte,2021,01,170
GO,52013,São Patrício I,2021,01,140
GO,52011,Pirineus,2021,01,598
GO,52012,Rio Vermelho,2021,01,209
GO,52018,São Patrício II,2021,01,176
GO,52009,Oeste I,2021,01,101
GO,52010,Oeste II,2021,01,137
GO,52017,Sul,2021,01,274
GO,52015,Sudoeste I,2021,01,495
GO,52003,Entorno Norte,2021,01,314
GO,52005,Estrada de Ferro,2021,01,325
GO,52018,São Patrício II,2020,12,162
GO,52012,Rio Vermelho,2020,12,219
GO,52016,Sudoeste II,2020,12,291
GO,52009,Oeste I,2020,12,89
GO,52010,Oeste II,2020,12,106
GO,52008,Norte,2020,12,140
GO,52003,Entorno Norte,2020,12,316
GO,52017,Sul,2020,12,267
GO,52006,Nordeste I,2020,12,56
GO,52011,Pirineus,2020,12,564
GO,52013,São Patrício I,2020,12,144
GO,52007,Nordeste II,2020,12,112
GO,52015,Sudoeste I,2020,12,465
GO,52014,Serra da Mesa,2020,12,112
GO,52005,Estrada de Ferro,2020,12,301
GO,52004,Entorno Sul,2020,12,1041
GO,52001,Central,2020,12,2054
GO,52002,Centro Sul,2020,12,1032
GO,52015,Sudoeste I,2020,11,468
GO,52003,Entorno Norte,2020,11,267
GO,52011,Pirineus,2020,11,566
GO,52009,Oeste I,2020,11,106
GO,52013,São Patrício I,2020,11,159
GO,52014,Serra da Mesa,2020,11,98
GO,52016,Sudoeste II,2020,11,261
GO,52005,Estrada de Ferro,2020,11,282
GO,52001,Central,2020,11,1888
GO,52007,Nordeste II,2020,11,111
GO,52004,Entorno Sul,2020,11,991
GO,52018,São Patrício II,2020,11,189
GO,52017,Sul,2020,11,230
GO,52008,Norte,2020,11,132
GO,52012,Rio Vermelho,2020,11,190
GO,52006,Nordeste I,2020,11,50
GO,52002,Centro Sul,2020,11,960
GO,52010,Oeste II,2020,11,114
GO,52009,Oeste I,2020,10,119
GO,52014,Serra da Mesa,2020,10,115
GO,52007,Nordeste II,2020,10,110
GO,52001,Central,2020,10,1923
GO,52008,Norte,2020,10,133
GO,52011,Pirineus,2020,10,608
GO,52003,Entorno Norte,2020,10,281
GO,52018,São Patrício II,2020,10,192
GO,52017,Sul,2020,10,253
GO,52012,Rio Vermelho,2020,10,186
GO,52006,Nordeste I,2020,10,45
GO,52015,Sudoeste I,2020,10,484
GO,52010,Oeste II,2020,10,122
GO,52002,Centro Sul,2020,10,995
GO,52005,Estrada de Ferro,2020,10,338
GO,52016,Sudoeste II,2020,10,268
GO,52013,São Patrício I,2020,10,157
GO,52004,Entorno Sul,2020,10,1045
GO,52007,Nordeste II,2020,09,117
GO,52002,Centro Sul,2020,09,1065
GO,52008,Norte,2020,09,150
GO,52005,Estrada de Ferro,2020,09,329
GO,52011,Pirineus,2020,09,608
GO,52004,Entorno Sul,2020,09,1034
GO,52014,Serra da Mesa,2020,09,140
GO,52009,Oeste I,2020,09,114
GO,52017,Sul,2020,09,262
GO,52003,Entorno Norte,2020,09,309
GO,52013,São Patrício I,2020,09,174
GO,52015,Sudoeste I,2020,09,481
GO,52010,Oeste II,2020,09,128
GO,52016,Sudoeste II,2020,09,266
GO,52018,São Patrício II,2020,09,191
GO,52001,Central,2020,09,2041
GO,52006,Nordeste I,2020,09,48
GO,52012,Rio Vermelho,2020,09,201
GO,52009,Oeste I,2020,08,112
GO,52003,Entorno Norte,2020,08,306
GO,52011,Pirineus,2020,08,603
