cod_ibge;Nome;idh_2010
5219258;Santa Fé de Goiás;0.713
5219308;Santa Helena de Goiás;0.724
5219357;Santa Isabel;0.683
5219407;Santa Rita do Araguaia;0.714
5219456;Santa Rita do Novo Destino;0.634
5219506;Santa Rosa de Goiás;0.701
5219605;Santa Tereza de Goiás;0.665
5219704;Santa Terezinha de Goiás;0.701
5219712;Santo Antônio da Barra;0.691
5219738;Santo Antônio de Goiás;0.723
5219753;Santo Antônio do Descoberto;0.665
5219803;São Domingos;0.597
5219902;São Francisco de Goiás;0.651
5220009;São João d'Aliança;0.685
5220058;São João da Paraúna;0.724
5220108;São Luís de Montes Belos;0.731
5220157;São Luíz do Norte;0.669
5220207;São Miguel do Araguaia;0.664
5220264;São Miguel do Passa Quatro;0.697
5220280;São Patrício;0.693
5220405;São Simão;0.72
5220454;Senador Canedo;0.701
5220504;Serranópolis;0.681
5220603;Silvânia;0.709
5220686;Simolândia;0.645
5220702;Sítio d'Abadia;0.617
5221007;Taquaral de Goiás;0.716
5221080;Teresina de Goiás;0.661
5221197;Terezópolis de Goiás;0.685
5221304;Três Ranchos;0.745
5221403;Trindade;0.699
5221452;Trombas;0.653
5221502;Turvânia;0.697
5221551;Turvelândia;0.691
5221577;Uirapuru;0.67
5221601;Uruaçu;0.737
5221700;Uruana;0.703
5221809;Urutaí;0.732
5221858;Valparaíso de Goiás;0.746
5221908;Varjão;0.687
5222005;Vianópolis;0.712
5222054;Vicentinópolis;0.684
5222203;Vila Boa;0.647
5222302;Vila Propício;0.634
